#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
182,Eritrea,39,,,,39,0,,11,,,,"3,540,846",Africa
183,Comoros,34,,1,,8,25,,39,1,,,"867,421",Africa
184,Botswana,29,+4,1,,19,9,,12,0.4,"14,855","6,332","2,346,068",Africa
185,Antigua and Barbuda,25,,3,,19,3,1,256,31,183,"1,870","97,839",North America
186,Gambia,24,,1,,13,10,,10,0.4,"1,476",613,"2,408,415",Africa
187,Timor-Leste,24,,,,24,0,,18,,738,561,"1,315,521",Asia
188,Grenada,22,,,,17,5,4,196,,"3,007","26,737","112,466",North America
189,Bhutan,21,,,,6,15,,27,,"14,527","18,850","770,656",Asia
190,Laos,19,,,,14,5,,3,,"4,812",662,"7,263,530",Asia
191,Belize,18,,2,,16,0,,45,5,"1,363","3,435","396,791",North America
192,Fiji,18,,,,15,3,,20,,"1,300","1,451","895,730",Australia/Oceania
193,Namibia,18,+2,,,14,4,,7,,"2,586","1,020","2,535,571",Africa
194,New Caledonia,18,,,,18,0,,63,,"5,454","19,124","285,193",Australia/Oceania
195,Saint Lucia,18,,,,18,0,,98,,786,"4,283","183,536",North America
196,St. Vincent Grenadines,18,,,,14,4,,162,,175,"1,578","110,902",North America
197,Curaçao,16,,1,,14,1,,98,6,485,"2,957","164,020",North America
198,Dominica,16,,,,16,0,,222,,433,"6,017","71,967",North America
199,Saint Kitts and Nevis,15,,,,15,0,,282,,391,"7,355","53,158",North America
200,Falkland Islands,13,,,,13,0,,"3,749",,426,"122,837","3,468",South America
201,Turks and Caicos,12,,1,,10,1,,310,26,109,"2,820","38,658",North America
202,Vatican City,12,,,,2,10,,"14,981",,,,801,Europe
203,Montserrat,11,,1,,10,0,,"2,204",200,36,"7,212","4,992",North America
204,Suriname,11,,1,,9,1,,19,2,404,689,"586,049",South America
205,Greenland,11,,,,11,0,,194,,"1,767","31,132","56,759",North America
206,Seychelles,11,,,,11,0,,112,,,,"98,280",Africa
207,MS Zaandam,9,,2,,,7,,,,,,,
208,British Virgin Islands,8,,1,,6,1,,265,33,167,"5,528","30,209",North America
209,Papua New Guinea,8,,,,8,0,,0.9,,"2,402",269,"8,927,298",Australia/Oceania
210,Caribbean Netherlands,6,,,,6,0,,229,,357,"13,628","26,196",North America
211,St. Barth,6,,,,6,0,,608,,,,"9,874",North America
212,Western Sahara,6,,,,6,0,,10,,,,"595,583",Africa
213,Anguilla,3,,,,3,0,,200,,,,"14,988",North America
214,Lesotho,1,,,,,1,,0.5,,,,"2,140,374",Africa
215,Saint Pierre Miquelon,1,,,,1,0,,173,,,,"5,797",North America
NA,Total:,"887,257","+23,799","26,244",+391,"515,737","345,276","4,867",,,,,,Asia
NA,Total:,"1,795,200","+32,399","109,795","+1,978","480,935","1,204,470","19,046",,,,,,North America
NA,Total:,"1,848,322","+17,655","166,805","+1,007","826,641","854,876","10,751",,,,,,Europe
NA,Total:,"548,624","+28,536","28,078","+1,453","206,440","314,106","10,657",,,,,,South America
NA,Total:,"101,684","+4,694","3,115",+105,"40,588","57,981",285,,,,,,Africa
NA,Total:,"8,688",+2,121,,"8,025",542,10,,,,,,Australia/Oceania
NA,Total:,721,,15,,651,55,4,,,,,,
NA,Total:,"5,190,496","+107,085","334,173","+4,934","2,079,017","2,777,306","45,620",665.9,42.9,,,,All
